% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
5.47	1	1	548	1	1	0	0	14	1527
5.476	1	1	548	7	1	14	1527	14	1527
5.477	1	1	548	8	1	14	1527	14	1527
5.478	1	1	548	9	1	14	1527	14	1527
5.491	1	1	550	2	1	14	1527	14	1527
5.492	1	1	550	3	1	14	1527	14	1527
5.493	1	1	550	4	1	14	1527	14	1527
5.506	1	1	551	7	1	14	1527	14	1527
5.507	1	1	551	8	1	14	1527	14	1527
5.508	1	1	551	9	1	14	1527	14	1527
5.521	1	1	553	2	1	14	1527	14	1527
5.522	1	1	553	3	1	14	1527	14	1527
5.523	1	1	553	4	1	14	1527	14	1527
5.536	1	1	554	7	1	14	1527	14	1527
5.537	1	1	554	8	1	14	1527	14	1527
5.538	1	1	554	9	1	14	1527	14	1527
5.551	1	1	556	2	1	14	1527	14	1527
5.552	1	1	556	3	1	14	1527	14	1527
5.553	1	1	556	4	1	14	1527	14	1527
5.566	1	1	557	7	1	14	1527	14	1527
5.567	1	1	557	8	1	14	1527	14	1527
5.568	1	1	557	9	1	14	1527	14	1527
5.569	1	1	557	10	1	14	1527	14	1527
5.576	1	1	558	7	1	0	0	14	1527
5.581	1	1	559	2	1	14	1527	14	1527
5.582	1	1	559	3	1	14	1527	14	1527
5.583	1	1	559	4	1	14	1527	14	1527
5.584	1	1	559	5	1	14	1527	14	1527
5.591	1	1	560	2	1	0	0	14	1527
5.596	1	1	560	7	1	14	1527	14	1527
5.597	1	1	560	8	1	14	1527	14	1527
